City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,25.86,93,5,3.13,EC,1711935275.4123762
1,tiksi,71.6872,128.8694,-9.36,84,100,9.53,RU,1711935275.8722482
2,sangaria,29.8,74.45,20.25,40,84,2.11,IN,1711935276.751112
3,edinburgh of the seven seas,-37.0676,-12.3116,17.15,74,100,6.28,SH,1711935277.272449
4,port-aux-francais,-49.35,70.2167,4.94,80,100,9.49,TF,1711935277.9374511
5,anchorage,61.2181,-149.9003,5.38,54,100,9.26,US,1711935278.379781
6,molde,62.7375,7.1591,5.95,100,75,2.06,NO,1711935278.8110201
7,hammerfest,70.6634,23.6821,-6.75,86,75,8.23,NO,1711935279.3612878
8,port alfred,-33.5906,26.891,19.54,87,95,0.45,ZA,1711935280.0301461
9,las animas,-39.8087,-73.2182,9.08,86,0,1.01,CL,1711935280.491565
10,port elizabeth,-33.918,25.5701,20.16,84,0,7.2,ZA,1711935280.937002
11,road town,18.4167,-64.6167,26.02,73,40,4.12,VG,1711935281.406713
12,jinghong,21.991,100.7341,31.6,29,3,0.62,CN,1711935281.859371
13,woodlake,37.4211,-77.6793,15.32,93,75,2.57,US,1711935282.6790242
14,puerto natales,-51.7236,-72.4875,5.14,88,95,3.09,CL,1711935283.12962
15,high springs,29.8269,-82.5968,21.08,80,74,2.77,US,1711935283.646528
16,grytviken,-54.2811,-36.5092,-2.86,68,15,1.14,GS,1711935284.5812302
17,port saint john's,-31.6229,29.5448,22.71,77,55,4.68,ZA,1711935285.010535
18,castillos,-34.1667,-53.8333,16.03,75,100,4.46,UY,1711935285.5525
19,lata,40.1629,-8.3327,9.4,96,60,2.33,PT,1711935286.115647
20,port blair,11.6667,92.75,27.02,94,20,0.51,IN,1711935286.9834208
21,albany,42.6001,-73.9662,7.36,64,69,1.99,US,1711935287.567074
22,kapa'a,22.0752,-159.319,26.18,67,20,5.66,US,1711935288.049514
23,bilibino,68.0546,166.4372,-22.22,73,28,0.95,RU,1711935288.575401
24,naas,53.2158,-6.6669,8.34,87,100,6.17,IE,1711935289.0395432
25,enewetak,11.3474,162.3373,27.14,79,100,9.53,MH,1711935289.529098
26,m'sila,35.7058,4.5419,16.7,58,95,6.33,DZ,1711935290.099526
27,glace bay,46.1969,-59.957,-0.48,75,40,2.24,CA,1711935290.776591
28,langepas,61.2544,75.2124,-11.93,89,100,5.84,RU,1711935291.796083
29,margaret river,-33.95,115.0667,17.99,47,0,4.62,AU,1711935292.715884
30,bethel,41.3712,-73.414,11.93,47,0,2.06,US,1711935293.435262
31,lakatoro,-16.0999,167.4164,28.53,71,67,4.37,VU,1711935294.064258
32,maloye ganyushkino,46.6,49.2667,7.58,68,12,1.16,KZ,1711935294.648352
33,wijchen,51.8,5.7167,9.39,91,100,1.54,NL,1711935295.240432
34,badger,64.8,-147.5333,4.14,62,100,8.75,US,1711935295.7968378
35,bredasdorp,-34.5322,20.0403,18.09,59,84,5.74,ZA,1711935296.346007
36,wailua homesteads,22.0669,-159.378,25.44,68,20,5.66,US,1711935297.430721
37,utrik,11.2278,169.8474,26.95,77,87,9.48,MH,1711935297.879423
38,hermanus,-34.4187,19.2345,16.0,77,11,6.43,ZA,1711935298.3204968
39,colonia,50.9333,6.95,11.65,85,0,2.06,DE,1711935298.774684
40,xilin hot,43.9667,116.0333,6.71,19,80,3.71,CN,1711935299.21967
41,kodiak,57.79,-152.4072,0.73,86,100,0.0,US,1711935300.295041
42,vorgashor,67.5833,63.95,-8.13,96,100,3.65,RU,1711935300.863518
43,uturoa,-16.7333,-151.4333,28.34,79,96,9.36,PF,1711935302.0393012
44,loch garman,52.3342,-6.4575,9.38,100,89,6.26,IE,1711935303.2640362
45,waitangi,-43.9535,-176.5597,14.34,93,94,3.58,NZ,1711935303.730211
